Name,Slug,GiveReady Profile,Tagline,Country,City,Website,Donation URL,Contact Email,Founded,Causes
Youth Determined to Succeed,youth-determined-to-succeed,https://giveready.org/api/nonprofits/youth-determined-to-succeed,,United States,,http://www.youthdetermined.org,https://www.every.org/youthdetermined#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Economics Social Service,youth-economics-social-service,https://giveready.org/api/nonprofits/youth-economics-social-service,,United States,,,https://www.every.org/youth-economics-social-service#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Education & Sports Community Inc,youth-education-sports-community-inc,https://giveready.org/api/nonprofits/youth-education-sports-community-inc,,United States,,,https://www.every.org/youth-education-sports-community-inc#/donate,,,"Adventure & Travel,Youth Empowerment"
Youth Employment Services,youth-employment-services,https://giveready.org/api/nonprofits/youth-employment-services,,United States,,,https://www.every.org/youth-employment-services#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Empowerment & Support,youth-empowerment-support,https://giveready.org/api/nonprofits/youth-empowerment-support,,United States,,,https://www.every.org/youth-empowerment-support#/donate,,,Youth Empowerment
Youth Empowerment Academy,youth-empowerment-academy,https://giveready.org/api/nonprofits/youth-empowerment-academy,,United States,,,https://www.every.org/youth-empowerment-academy#/donate,,,Youth Empowerment
Youth Empowerment Association,youth-empowerment-association,https://giveready.org/api/nonprofits/youth-empowerment-association,,United States,,,https://www.every.org/youth-empowerment-association#/donate,,,Youth Empowerment
Youth Empowerment Center Inc,youth-empowerment-center-inc,https://giveready.org/api/nonprofits/youth-empowerment-center-inc,,United States,,,https://www.every.org/youth-empowerment-center-inc#/donate,,,Youth Empowerment
Youth Empowerment Committee Inc,youth-empowerment-committee-inc,https://giveready.org/api/nonprofits/youth-empowerment-committee-inc,,United States,,,https://www.every.org/youth-empowerment-committee-inc#/donate,,,Youth Empowerment
Youth Empowerment Community Development Corporation,youth-empowerment-community-development-corporation,https://giveready.org/api/nonprofits/youth-empowerment-community-development-corporation,,United States,,,https://www.every.org/youth-empowerment-community-development-corporation#/donate,,,"Community Development,Youth Empowerment"
Youth Empowerment For Success,youth-empowerment-for-success,https://giveready.org/api/nonprofits/youth-empowerment-for-success,,United States,,,https://www.every.org/youth-empowerment-for-success#/donate,,,Youth Empowerment
Youth Empowerment Hub,youth-empowerment-hub,https://giveready.org/api/nonprofits/youth-empowerment-hub,,United States,,,https://www.every.org/youth-empowerment-hub#/donate,,,Youth Empowerment
Youth Empowerment Inc,youth-empowerment-inc,https://giveready.org/api/nonprofits/youth-empowerment-inc,,United States,,,https://www.every.org/youth-empowerment-inc#/donate,,,Youth Empowerment
Youth Empowerment Initiative Inc,youth-empowerment-initiative-inc,https://giveready.org/api/nonprofits/youth-empowerment-initiative-inc,,United States,,,https://www.every.org/youth-empowerment-initiative-inc#/donate,,,Youth Empowerment
Youth Empowerment Integration Program,youth-empowerment-integration-program,https://giveready.org/api/nonprofits/youth-empowerment-integration-program,,United States,,,https://www.every.org/youth-empowerment-integration-program#/donate,,,Youth Empowerment
Youth Empowerment Ministries Inc,youth-empowerment-ministries-inc,https://giveready.org/api/nonprofits/youth-empowerment-ministries-inc,,United States,,,https://www.every.org/youth-empowerment-ministries-inc#/donate,,,Youth Empowerment
Youth Empowerment Network,youth-empowerment-network,https://giveready.org/api/nonprofits/youth-empowerment-network,,United States,,,https://www.every.org/youth-empowerment-network-1fef#/donate,,,Youth Empowerment
Youth Empowerment Project,youth-empowerment-project,https://giveready.org/api/nonprofits/youth-empowerment-project,,United States,,,https://www.every.org/youth-empowerment-project-bcf0#/donate,,,Youth Empowerment
Youth Empowerment Services,youth-empowerment-services,https://giveready.org/api/nonprofits/youth-empowerment-services,,United States,,,https://www.every.org/youth-empowerment-services-8657#/donate,,,Youth Empowerment
Youth Empowerment Services Inc,youth-empowerment-services-inc,https://giveready.org/api/nonprofits/youth-empowerment-services-inc,,United States,,,https://www.every.org/youth-empowerment-services-inc-be1b#/donate,,,Youth Empowerment
Youth Empowerment Source,youth-empowerment-source,https://giveready.org/api/nonprofits/youth-empowerment-source,,United States,,,https://www.every.org/youth-empowerment-source#/donate,,,Youth Empowerment
Youth Empowerment Strategist,youth-empowerment-strategist,https://giveready.org/api/nonprofits/youth-empowerment-strategist,,United States,,,https://www.every.org/youth-empowerment-strategist#/donate,,,Youth Empowerment
Youth Empowerment Through Soccer International Inc,youth-empowerment-through-soccer-international-inc,https://giveready.org/api/nonprofits/youth-empowerment-through-soccer-international-inc,,United States,,,https://www.every.org/youth-empowerment-through-soccer-international-inc#/donate,,,Youth Empowerment
Youth Empowerment Through Social Support Inc,youth-empowerment-through-social-support-inc,https://giveready.org/api/nonprofits/youth-empowerment-through-social-support-inc,,United States,,,https://www.every.org/youth-empowerment-through-social-support-inc#/donate,,,Youth Empowerment
Youth Empowerment Village Inc,youth-empowerment-village-inc,https://giveready.org/api/nonprofits/youth-empowerment-village-inc,,United States,,,https://www.every.org/youth-empowerment-village-inc#/donate,,,Youth Empowerment
Youth Empowerment Zone,youth-empowerment-zone,https://giveready.org/api/nonprofits/youth-empowerment-zone,,United States,,,https://www.every.org/youth-empowerment-zone#/donate,,,Youth Empowerment
Youth Entrepreneurship And Finance Association Inc,youth-entrepreneurship-and-finance-association-inc,https://giveready.org/api/nonprofits/youth-entrepreneurship-and-finance-association-inc,,United States,,,https://www.every.org/youth-entrepreneurship-and-finance-association-inc#/donate,,,"Entrepreneurship,Youth Empowerment"
Youth Entrepreneurship Development Foundation Cdc,youth-entrepreneurship-development-foundation-cdc,https://giveready.org/api/nonprofits/youth-entrepreneurship-development-foundation-cdc,,United States,,,https://www.every.org/youth-entrepreneurship-development-foundation-cdc#/donate,,,"Entrepreneurship,Youth Empowerment"
Youth Entrepreneurship For Positive Peace Inc,youth-entrepreneurship-for-positive-peace-inc,https://giveready.org/api/nonprofits/youth-entrepreneurship-for-positive-peace-inc,,United States,,,https://www.every.org/youth-entrepreneurship-for-positive-peace-inc#/donate,,,"Entrepreneurship,Youth Empowerment"
Youth Entrepreneurship Initiatives,youth-entrepreneurship-initiatives,https://giveready.org/api/nonprofits/youth-entrepreneurship-initiatives,,United States,,,https://www.every.org/youth-entrepreneurship-initiatives#/donate,,,"Entrepreneurship,Youth Empowerment"
Youth Entrepreneurship League,youth-entrepreneurship-league,https://giveready.org/api/nonprofits/youth-entrepreneurship-league,,United States,,,https://www.every.org/youth-entrepreneurship-league#/donate,,,"Entrepreneurship,Youth Empowerment"
Youth Entrepreneurship Services,youth-entrepreneurship-services,https://giveready.org/api/nonprofits/youth-entrepreneurship-services,,United States,,,https://www.every.org/youth-entrepreneurship-services#/donate,,,"Entrepreneurship,Youth Empowerment"
Youth Equity Project,youth-equity-project,https://giveready.org/api/nonprofits/youth-equity-project,,United States,,,https://www.every.org/youth-equity-project#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Equity Project Inc,youth-equity-project-inc,https://giveready.org/api/nonprofits/youth-equity-project-inc,,United States,,,https://www.every.org/youth-equity-project-inc#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Help Center,youth-help-center,https://giveready.org/api/nonprofits/youth-help-center,,United States,,,https://www.every.org/youth-help-center#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Help Youth,youth-help-youth,https://giveready.org/api/nonprofits/youth-help-youth,,United States,,,https://www.every.org/youth-help-youth#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth Impact Community Development Programs Incorporated,youth-impact-community-development-programs-incorporated,https://giveready.org/api/nonprofits/youth-impact-community-development-programs-incorporated,,United States,,,https://www.every.org/youth-impact-community-development-programs-incorporated#/donate,,,"Community Development,Youth Empowerment"
Youth Mental Health Care Alliance,youth-mental-health-care-alliance,https://giveready.org/api/nonprofits/youth-mental-health-care-alliance,,United States,,,https://www.every.org/youth-mental-health-care-alliance#/donate,,,"Mental Health,Youth Empowerment"
Youth Mental Health Initiative,youth-mental-health-initiative,https://giveready.org/api/nonprofits/youth-mental-health-initiative,,United States,,,https://www.every.org/youth-mental-health-initiative#/donate,,,"Mental Health,Youth Empowerment"
Youth Music Project,youth-music-project,https://giveready.org/api/nonprofits/youth-music-project,,United States,,http://www.youthmusicproject.org/,https://www.every.org/youth-music-project#/donate,info@youthmusicproject.org,,"Music Education,Youth Empowerment"
Youth Outdoor Education,youth-outdoor-education,https://giveready.org/api/nonprofits/youth-outdoor-education,,United States,,,https://www.every.org/youth-outdoor-education#/donate,,,"Adventure & Travel,Youth Empowerment"
Youth Outdoor Education Grant Association,youth-outdoor-education-grant-association,https://giveready.org/api/nonprofits/youth-outdoor-education-grant-association,,United States,,,https://www.every.org/youth-outdoor-education-grant-association#/donate,,,"Adventure & Travel,Youth Empowerment"
Youth Outdoor Experience,youth-outdoor-experience,https://giveready.org/api/nonprofits/youth-outdoor-experience,,United States,,ironwoodtreeexperience.org,https://www.every.org/youth-outdoor-experience#/donate,,,"Adventure & Travel,Youth Empowerment"
Youth-Community,youth-community,https://giveready.org/api/nonprofits/youth-community,,United States,,,https://www.every.org/youth-community#/donate,,,"Poverty Reduction,Youth Empowerment"
Youth-Outdoors,youth-outdoors,https://giveready.org/api/nonprofits/youth-outdoors,,United States,,,https://www.every.org/youth-outdoors#/donate,,,"Adventure & Travel,Youth Empowerment"
Youths Empowerment Corporation,youths-empowerment-corporation,https://giveready.org/api/nonprofits/youths-empowerment-corporation,,United States,,,https://www.every.org/youths-empowerment-corporation#/donate,,,Youth Empowerment
